07-30 21:01:25 | INFO   | __main__                                 || 0.9804999999999999, 86.584824
07-30 21:01:25 | INFO   | __main__                                 || Got retcode 
07-30 21:01:26 | INFO   | __main__                                 || 0.9658, 86.073532
07-30 21:01:26 | INFO   | __main__                                 || Got retcode 
07-30 21:01:28 | INFO   | __main__                                 || 0.9658, 86.270859
07-30 21:01:41 | INFO   | __main__                                 || Got retcode 
07-30 21:01:43 | INFO   | __main__                                 || 0.9647, 79.415192
07-30 21:01:43 | INFO   | __main__                                 || Got retcode 
07-30 21:01:44 | INFO   | __main__                                 || 0.9647, 80.159988
07-30 21:01:44 | INFO   | __main__                                 || Got retcode 
07-30 21:01:45 | INFO   | __main__                                 || 0.9647, 79.343933
07-30 21:01:45 | INFO   | __main__                                 || Got retcode 
07-30 21:01:46 | INFO   | __main__                                 || 0.9647, 81.60379
07-30 21:01:46 | INFO   | __main__                                 || Got retcode 
07-30 21:01:48 | INFO   | __main__                                 || 0.9403, 77.374832
07-30 21:01:48 | INFO   | __main__                                 || Got retcode 
07-30 21:01:49 | INFO   | __main__                                 || 0.9403, 80.496521
07-30 21:01:49 | INFO   | __main__                                 || Got retcode 
07-30 21:01:50 | INFO   | __main__                                 || 0.9403, 78.632965
07-30 21:01:50 | INFO   | __main__                                 || Got retcode 
07-30 21:01:51 | INFO   | __main__                                 || 0.9403, 79.53743
07-30 21:01:51 | INFO   | __main__                                 || Got retcode 
07-30 21:01:53 | INFO   | __main__                                 || 0.9403, 80.491653
07-30 21:01:53 | INFO   | __main__                                 || Got retcode 
07-30 21:01:54 | INFO   | __main__                                 || 0.9403, 78.225601
07-30 21:02:07 | INFO   | __main__                                 || Got retcode 
07-30 21:02:09 | INFO   | __main__                                 || 0.9586, 78.884705
07-30 21:02:09 | INFO   | __main__                                 || Got retcode 
07-30 21:02:10 | INFO   | __main__                                 || 0.9586, 79.675003
07-30 21:02:10 | INFO   | __main__                                 || Got retcode 
07-30 21:02:11 | INFO   | __main__                                 || 0.9586, 79.423523
07-30 21:02:11 | INFO   | __main__                                 || Got retcode 
07-30 21:02:12 | INFO   | __main__                                 || 0.9586, 80.258575
07-30 21:02:12 | INFO   | __main__                                 || Got retcode 
07-30 21:02:14 | INFO   | __main__                                 || 0.9586, 80.268784
07-30 21:02:14 | INFO   | __main__                                 || Got retcode 
07-30 21:02:15 | INFO   | __main__                                 || 0.9586, 81.017181
07-30 21:02:15 | INFO   | __main__                                 || Got retcode 
07-30 21:02:16 | INFO   | __main__                                 || 0.9586, 80.148285
07-30 21:02:16 | INFO   | __main__                                 || Got retcode 
07-30 21:02:17 | INFO   | __main__                                 || 0.9586, 79.846283
07-30 21:02:17 | INFO   | __main__                                 || Got retcode 
07-30 21:02:19 | INFO   | __main__                                 || 0.9586, 77.549576
