,itr,dvfs,rate,watts_avg,watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
23,100.0,2.0,200000.0,68.41,1.0,1400196.4,864.5235,0.0,0.0,260.16666,99.13784,0.0,0.0,26.016666,0.0,0.0,0.0,199986.53,146.74962,0.0,0.0,46.37143,8.376945,0.0,4.6371427,175007.56,238.24742,175007.58,238.2591,523.81665,13.463081,1.9,5.7005115,52.381668,0.19
24,100.0,2.1,200000.0,71.59,1.0,1399993.0,113.94853,0.0,0.0,544.68335,11.413664,0.0,0.0,54.468334,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,53.064285,9.567535,0.0,5.3064284,174999.9,17.607677,174999.9,17.61475,549.3542,13.508203,10.6625,5.549985,54.935417,1.06625
25,100.0,2.2,200000.0,77.01,1.27,1400001.5,15.258844,0.0,0.0,561.61664,9.2230215,0.0,0.0,56.161667,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,84.916664,7.780036,0.0,8.491667,175000.02,0.04973798,175000.02,0.0519818,582.4125,13.076614,4.3395834,3.7620974,58.24125,0.43395832
26,100.0,2.3,200000.0,69.57,1.22,1400000.0,0.0,0.0,0.0,526.61664,9.826233,0.0,0.0,52.661667,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,30.914286,6.9730954,0.0,3.0914285,175000.0,0.0,175000.0,0.0,438.03333,5.8736258,53.047916,7.6933064,43.803333,5.3047915
27,100.0,2.4,200000.0,71.33,1.26,1400002.8,17.92917,0.0,0.0,529.7,12.878735,0.0,0.0,52.97,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,19.645239,5.542531,0.0,1.9645238,175000.0,0.0,175000.0,0.0,419.68958,8.017506,70.35833,11.165648,41.96896,7.0358334
28,100.0,2.5,200000.0,74.88,1.16,1399985.4,133.08131,0.0,0.0,557.8333,11.87546,0.0,0.0,55.783333,0.0,0.0,0.0,199992.45,24.381142,0.0,0.0,18.607143,5.2349854,0.0,1.8607143,174988.02,10.063328,174988.02,10.046794,397.75418,7.071563,107.89792,15.135809,39.775417,10.789792
29,100.0,2.6,200000.0,84.93,1.24,1399999.9,0.4158544,0.0,0.0,552.98334,11.373997,0.0,0.0,55.298332,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,39.67619,7.6523094,0.0,3.967619,175000.0,0.0,175000.0,0.0,517.81665,10.947198,26.022917,8.310753,51.781666,2.6022916
30,300.0,1.2,200000.0,62.86,0.33,1399934.4,239.33458,0.0,0.0,536.31665,9.977859,0.0,0.0,53.631668,0.0,0.0,0.0,199999.83,70.103004,0.0,0.0,354.57858,12.736854,0.0,35.45786,174994.61,216.66306,174994.61,216.67056,884.33124,20.139837,0.0,0.0,88.43313,0.0
31,300.0,1.3,200000.0,64.19,0.67,1399970.6,242.64711,0.0,0.0,542.8333,9.970736,0.0,0.0,54.283333,0.0,0.0,0.0,199980.39,31.265299,0.0,0.0,286.60477,9.900381,0.0,28.660477,175020.61,93.27721,175020.61,93.2693,808.9771,23.49671,0.0,0.0,80.897705,0.0
32,300.0,1.4,200000.0,64.34,0.66,1399946.0,219.59076,0.0,0.0,558.98334,12.591423,0.0,0.0,55.898335,0.0,0.0,0.0,199993.19,75.678665,0.0,0.0,172.64523,15.682705,0.0,17.264524,175000.98,166.77315,175000.98,166.77255,764.4021,14.300908,0.06875,0.2716267,76.44021,0.006875
33,300.0,1.5,200000.0,61.16,1.0,1399860.4,498.62067,0.0,0.0,548.63336,9.693703,0.0,0.0,54.863335,0.0,0.0,0.0,199973.28,107.22967,0.0,0.0,142.73096,11.380234,0.0,14.273095,174994.45,242.64476,174994.45,242.6587,661.49585,19.050419,0.26041666,0.8482248,66.14958,0.026041666
34,300.0,1.6,200000.0,63.32,1.08,1399996.0,31.91446,0.0,0.0,544.8,11.726288,0.0,0.0,54.48,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,151.20952,10.346839,0.0,15.120953,174999.67,1.7802831,174999.67,1.780657,658.3521,18.687038,0.14583333,0.5269841,65.835205,0.014583333
35,300.0,1.7,200000.0,64.28,0.93,1400024.9,804.88403,0.0,0.0,554.0833,9.792554,0.0,0.0,55.408333,0.0,0.0,0.0,200008.4,122.02692,0.0,0.0,116.49762,9.842656,0.0,11.649762,174995.64,126.67327,174995.64,126.6663,614.6312,17.639046,1.05625,1.6520222,61.463123,0.105625
36,300.0,1.8,200000.0,64.53,0.87,1400134.8,569.625,0.0,0.0,422.9,150.48204,0.0,0.0,42.29,0.0,0.0,0.0,199986.72,108.76794,0.0,0.0,103.80238,8.952827,0.0,10.380239,174992.97,152.68068,174992.97,152.68532,586.12915,14.127963,1.0270833,1.656093,58.612915,0.10270833
37,300.0,1.9,200000.0,65.56,0.87,1399715.8,473.81522,0.0,0.0,537.7833,8.77889,0.0,0.0,53.77833,0.0,0.0,0.0,199988.77,25.694368,0.0,0.0,84.561905,7.6571426,0.0,8.45619,174971.16,163.58868,174971.16,163.60257,551.95,14.440508,5.945833,4.578901,55.195,0.59458333
38,300.0,2.0,200000.0,67.23,0.95,1399799.0,516.3653,0.0,0.0,556.7833,11.709845,0.0,0.0,55.678333,0.0,0.0,0.0,199994.5,19.498373,0.0,0.0,52.340477,9.467685,0.0,5.2340474,174981.67,81.21345,174981.67,81.24529,525.1188,10.98068,25.495832,7.534902,52.511875,2.5495834
39,300.0,2.1,200000.0,67.38,1.0,1399999.4,4.8438683,0.0,0.0,568.35,13.791053,0.0,0.0,56.835,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,38.74524,9.487504,0.0,3.8745239,175000.0,0.0,175000.0,0.0,483.28543,7.448417,54.460415,11.654237,48.32854,5.4460416
40,300.0,2.2,200000.0,70.22,0.97,1399985.5,27.119959,0.0,0.0,228.35,16.113602,0.0,0.0,22.835,0.0,0.0,0.0,199995.52,3.6808372,0.0,0.0,10.276191,5.277591,0.0,1.027619,174993.36,6.653327,174993.36,6.641741,472.31876,11.467354,0.025,0.05,47.231876,0.0025
41,300.0,2.3,200000.0,75.72,1.05,1400000.0,0.0,0.0,0.0,551.93335,13.079544,0.0,0.0,55.193333,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,29.904762,8.634325,0.0,2.9904761,175000.0,0.0,175000.0,0.0,472.58334,6.8708096,51.058334,10.23948,47.258335,5.1058335
42,300.0,2.4,200000.0,71.42,1.09,1399998.1,46.424236,0.0,0.0,556.1667,8.806702,0.0,0.0,55.616665,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,27.840477,6.3648467,0.0,2.7840476,175000.06,1.3287954,175000.06,1.3287954,414.8854,6.624859,96.3875,8.881688,41.48854,9.63875
43,300.0,2.5,200000.0,75.5,1.27,1400160.1,1082.1848,0.0,0.0,561.6,10.545812,0.0,0.0,56.16,0.0,0.0,0.0,200007.98,68.49907,0.0,0.0,32.011906,7.957416,0.0,3.2011905,175005.28,23.044058,175005.28,23.042326,426.6146,8.477918,87.0375,11.970958,42.661457,8.70375
44,300.0,2.6,200000.0,75.48,1.3,1399939.4,101.44742,0.0,0.0,552.06665,15.79482,0.0,0.0,55.206665,0.0,0.0,0.0,199996.42,7.9373837,0.0,0.0,15.542857,6.640512,0.0,1.5542858,174993.08,10.223166,174993.08,10.232977,371.30832,4.5547276,117.25208,24.775137,37.130833,11.725208
45,500.0,1.2,200000.0,62.51,0.65,1353467.6,42773.555,0.0,0.0,512.18335,33.60024,0.0,0.0,51.218334,0.0,0.0,0.0,193338.94,6137.826,0.0,0.0,495.4,119.45579,0.0,49.54,169184.84,5353.3267,169184.83,5353.3296,926.45,38.470432,0.0,0.0,92.645,0.0
46,500.0,1.3,200000.0,64.74,0.43,1399989.2,72.256195,0.0,0.0,543.5333,10.255202,0.0,0.0,54.353333,0.0,0.0,0.0,199999.83,0.43873408,0.0,0.0,327.22144,9.76209,0.0,32.72214,174996.12,21.08353,174996.12,21.067966,847.1104,23.634708,0.0,0.0,84.711044,0.0
47,500.0,1.4,200000.0,67.41,0.46,1399871.1,187.22353,0.0,0.0,225.5,8.656927,0.0,0.0,22.55,0.0,0.0,0.0,199982.6,59.256187,0.0,0.0,322.1262,12.637872,0.0,32.21262,174986.05,192.54393,174986.03,192.55481,839.98126,24.825615,0.0,0.0,83.99812,0.0
48,500.0,1.5,200000.0,74.69,0.64,1399834.5,412.71576,0.0,0.0,523.9667,8.967082,0.0,0.0,52.396667,0.0,0.0,0.0,199970.98,130.23875,0.0,0.0,428.70477,27.596733,0.0,42.870476,174980.56,233.18996,174980.56,233.18918,927.03125,19.423903,0.0,0.0,92.703125,0.0
49,500.0,1.6,200000.0,64.72,0.89,1400000.0,0.0,0.0,0.0,541.35,9.736978,0.0,0.0,54.135,0.0,0.0,0.0,199999.14,1.776667,0.0,0.0,150.5381,8.215146,0.0,15.053809,174998.19,2.9721725,174998.19,2.9674902,644.5479,17.845007,0.10208333,0.3624063,64.45479,0.010208333
50,500.0,1.7,200000.0,63.2,1.03,1400000.0,0.0,0.0,0.0,281.56668,13.170891,0.0,0.0,28.156666,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,108.14047,9.150039,0.0,10.814048,175000.0,0.0,175000.0,0.0,605.5396,16.057829,0.022916667,0.116562076,60.55396,0.0022916666
51,500.0,1.8,200000.0,64.61,1.15,1399814.1,611.56726,0.0,0.0,542.2833,10.316002,0.0,0.0,54.228333,0.0,0.0,0.0,199986.86,58.096554,0.0,0.0,87.25952,8.021313,0.0,8.725952,174984.64,170.0859,174984.62,170.09407,582.3958,13.352465,2.7104166,3.057509,58.239582,0.27104166
