STATE,RATE,POLICY,numRecordsOutPerSecond_avg
0,500,conservative,500.0
0,500,ondemand,500.0764705882352
0,500,performance,499.5074074074074
0,500,powersave,499.9156862745099
0,500,schedutil,499.38888888888897
0,600,conservative,600.0
0,600,ondemand,600.0407407407407
0,600,performance,599.9527777777779
0,600,powersave,600.0037037037038
0,600,schedutil,599.9694444444444
0,700,conservative,699.7796296296297
0,700,ondemand,699.9490740740742
0,700,performance,698.4648148148149
0,700,powersave,699.9592592592593
0,700,schedutil,699.9186274509804
0,800,conservative,800.0
0,800,ondemand,799.4879629629628
0,800,performance,800.0
0,800,powersave,800.0
0,800,schedutil,799.921568627451
0,900,conservative,900.0888888888888
0,900,ondemand,900.6231481481481
0,900,performance,899.2611111111112
0,900,powersave,899.8382352941177
0,900,schedutil,899.9509803921568
